as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-06-09,2026-06-09,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,87.602036,STRESS,STRESS,77.720492,0.913043,"USD/KRW level (+0.2919, z=+1.95) | FXI 20d return (+0.1454, z=-1.94) | USD/KRW 20d return (+0.1144, z=+0.91)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,81.561023,STRESS,STRESS,71.383792,0.916667,"FXI 20d return (+0.2908, z=-1.94) | EWY 20d return (+0.1030, z=-1.37) | FXI minus SPY 20d return (+0.0810, z=-1.62)",,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,71.081278,STRESS,STRESS,76.127067,1.0,"SPY 5d return (+0.2000, z=-2.19) | QQQ 5d return (+0.1500, z=-2.61)","GLD 5d return (-0.0801, z=-1.60)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,68.440174,STRESS,STRESS,62.128209,1.0,"UUP 20d return (+0.1129, z=+1.50) | HYG 20d return (+0.0882, z=-1.18) | QQQ 20d return (+0.0760, z=-0.76)",,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,58.253826,WATCH,WATCH,48.524444,0.9,"AI leaders basket 20d return (+0.0765, z=-1.02) | USD/KRW 20d return (+0.0457, z=+0.91) | SOXX 20d return (+0.0356, z=-0.28)",,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",phase6_final_market_state_v1
2026-06-09,2026-06-09,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,48.279381,WATCH,WATCH,68.478082,0.9,"Korea construction basket 20d return (+0.1417, z=-1.89)","Korea AA- 3Y credit spread (-0.1404, z=-1.40) | Korea CP-CD 91D spread (-0.0754, z=-1.51)","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.",phase6_final_market_state_v1
2026-06-09,2026-06-09,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,44.527327,WATCH,WATCH,69.05725,0.95,"SPY 5d return (+0.1000, z=-2.19)","GLD 5d return (-0.1202, z=-1.60) | DBC 20d return (-0.0979, z=-1.96)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",phase6_final_market_state_v1
2026-06-09,2026-06-09,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,32.761768,OFF,OFF,72.589407,1.0,,"SPY 60d return (-0.1531, z=+1.02) | GLD 20d return (-0.1500, z=-2.00) | QQQ 60d return (-0.1050, z=+1.40)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,31.46102,OFF,OFF,72.540929,1.0,,"DBC 20d return (-0.1957, z=-1.96) | TIP 20d return (-0.1500, z=-2.79) | USO 20d return (-0.1303, z=-0.87)",성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase6_final_market_state_v1
2026-06-09,2026-06-09,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,28.78575,OFF,OFF,65.4571,1.0,,"UUP 20d return (-0.1129, z=+1.50) | SPY 20d return (-0.1108, z=-0.74) | QQQ 20d return (-0.0950, z=-0.76)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase6_final_market_state_v1
